Name: RAL Design	
Description: RAL design colors	
38  38  38	RAL 000 15 00
48  48  48	RAL 000 20 00
59  59  59	RAL 000 25 00
71  71  71	RAL 000 30 00
82  82  82	RAL 000 35 00
94  94  94	RAL 000 40 00
106  106  106	RAL 000 45 00
119  119  119	RAL 000 50 00
132  132  132	RAL 000 55 00
145  145  145	RAL 000 60 00
158  158  158	RAL 000 65 00
171  171  171	RAL 000 70 00
185  185  185	RAL 000 75 00
198  198  198	RAL 000 80 00
212  212  212	RAL 000 85 00
226  226  226	RAL 000 90 00
69  40  45	RAL 010 20 15
75  36  44	RAL 010 20 20
81  31  43	RAL 010 20 25
93  62  67	RAL 010 30 15
100  58  66	RAL 010 30 20
106  54  65	RAL 010 30 25
113  50  64	RAL 010 30 30
119  44  63	RAL 010 30 35
125  38  62	RAL 010 30 40
130  32  61	RAL 010 30 44
111  89  92	RAL 010 40 10
118  85  91	RAL 010 40 15
126  82  89	RAL 010 40 20
133  78  88	RAL 010 40 25
140  74  87	RAL 010 40 30
146  69  86	RAL 010 40 35
153  64  85	RAL 010 40 40
159  58  84	RAL 010 40 45
165  51  83	RAL 010 40 50
169  46  82	RAL 010 40 53
136  113  116	RAL 010 50 10
144  110  115	RAL 010 50 15
152  106  114	RAL 010 50 20
160  103  113	RAL 010 50 25
167  99  112	RAL 010 50 30
174  94  110	RAL 010 50 35
181  89  109	RAL 010 50 40
188  84  108	RAL 010 50 45
194  78  107	RAL 010 50 50
163  139  142	RAL 010 60 10
171  135  141	RAL 010 60 15
179  132  139	RAL 010 60 20
187  128  138	RAL 010 60 25
195  124  137	RAL 010 60 30
202  120  136	RAL 010 60 35
210  115  134	RAL 010 60 40
217  110  133	RAL 010 60 45
190  165  168	RAL 010 70 10
199  162  167	RAL 010 70 15
207  158  166	RAL 010 70 20
216  154  164	RAL 010 70 25
224  150  163	RAL 010 70 30
232  146  162	RAL 010 70 35
218  192  196	RAL 010 80 10
227  189  194	RAL 010 80 15
236  185  193	RAL 010 80 20
236  223  225	RAL 010 90 05
246  220  223	RAL 010 90 10
242  229  231	RAL 010 92 05
56  46  46	RAL 020 20 05
63  43  44	RAL 020 20 10
75  37  39	RAL 020 20 20
85  28  35	RAL 020 20 29
79  68  68	RAL 020 30 05
86  65  66	RAL 020 30 10
100  59  61	RAL 020 30 20
112  51  56	RAL 020 30 30
124  40  52	RAL 020 30 40
133  28  48	RAL 020 30 48
